Indicador;Área;Régimen;Hombres con presencia del evento;Mujeres con presencia del evento;Hombres encuestado;Mujeres encuestada;Año
Prevalencia de sibilancia en niños menores de 5 años;Santa Fe;No asegurado ;1;1;1;2;2019
Prevalencia de sibilancia en niños menores de 5 años;Santa Fe;Especial;0;0;1;1;2019
Prevalencia de sibilancia en niños menores de 5 años;San Cristóbal;Contributivo;13;10;57;42;2019
Prevalencia de sibilancia en niños menores de 5 años;San Cristóbal;Subsidiado ;6;4;19;19;2019
Prevalencia de sibilancia en niños menores de 5 años;San Cristóbal;No asegurado ;2;1;5;3;2019
Prevalencia de sibilancia en niños menores de 5 años;San Cristóbal;Especial;0;0;2;2;2019
Prevalencia de sibilancia en niños menores de 5 años;Usme;Contributivo;7;5;36;43;2019
Prevalencia de sibilancia en niños menores de 5 años;Usme;Subsidiado ;10;5;42;26;2019
Prevalencia de sibilancia en niños menores de 5 años;Usme;No asegurado ;0;0;2;5;2019
Prevalencia de sibilancia en niños menores de 5 años;Usme;Especial;0;0;1;2;2019
Prevalencia de sibilancia en niños menores de 5 años;Tunjuelito;Contributivo;6;2;45;19;2019
Prevalencia de sibilancia en niños menores de 5 años;Tunjuelito;Subsidiado ;2;2;16;11;2019
Prevalencia de sibilancia en niños menores de 5 años;Tunjuelito;No asegurado ;0;1;3;8;2019
Prevalencia de sibilancia en niños menores de 5 años;Tunjuelito;Especial;0;0;2;0;2019
Prevalencia de sibilancia en niños menores de 5 años;Bosa;Contributivo;4;1;119;100;2019
Prevalencia de sibilancia en niños menores de 5 años;Bosa;Subsidiado ;2;2;44;44;2019
Prevalencia de sibilancia en niños menores de 5 años;Bosa;No asegurado ;0;1;7;13;2019
Prevalencia de sibilancia en niños menores de 5 años;Bosa;Especial;1;0;6;1;2019
Prevalencia de sibilancia en niños menores de 5 años;Kennedy;Contributivo;18;13;170;150;2019
Prevalencia de sibilancia en niños menores de 5 años;Kennedy;Subsidiado ;4;3;50;35;2019
Prevalencia de sibilancia en niños menores de 5 años;Kennedy;No asegurado ;1;2;18;12;2019
Prevalencia de sibilancia en niños menores de 5 años;Kennedy;Especial;0;2;6;8;2019
Prevalencia de sibilancia en niños menores de 5 años;Fontibón;Contributivo;7;3;53;54;2019
Prevalencia de sibilancia en niños menores de 5 años;Fontibón;Subsidiado ;1;0;10;10;2019
Prevalencia de sibilancia en niños menores de 5 años;Fontibón;No asegurado ;1;0;3;5;2019
Prevalencia de sibilancia en niños menores de 5 años;Fontibón;Especial;0;0;6;3;2019
Prevalencia de sibilancia en niños menores de 5 años;Engativá;Contributivo;19;5;111;91;2019
Prevalencia de sibilancia en niños menores de 5 años;Engativá;Subsidiado ;1;3;15;24;2019
Prevalencia de sibilancia en niños menores de 5 años;Engativá;No asegurado ;0;0;1;1;2019
Prevalencia de sibilancia en niños menores de 5 años;Engativá;Especial;0;0;4;2;2019
Prevalencia de sibilancia en niños menores de 5 años;Suba;Contributivo;15;13;96;92;2019
Prevalencia de sibilancia en niños menores de 5 años;Suba;Subsidiado ;3;4;22;16;2019
Prevalencia de sibilancia en niños menores de 5 años;Suba;No asegurado ;0;0;6;3;2019
Prevalencia de sibilancia en niños menores de 5 años;Suba;Especial;0;0;1;3;2019
Prevalencia de sibilancia en niños menores de 5 años;Barrios Unidos;Contributivo;4;1;32;39;2019
Prevalencia de sibilancia en niños menores de 5 años;Barrios Unidos;Subsidiado ;2;1;16;14;2019
Prevalencia de sibilancia en niños menores de 5 años;Barrios Unidos;No asegurado ;1;1;3;1;2019
Prevalencia de sibilancia en niños menores de 5 años;Barrios Unidos;Especial;0;1;3;3;2019
Prevalencia de sibilancia en niños menores de 5 años;Teusaquillo;Contributivo;3;4;22;45;2019
Prevalencia de sibilancia en niños menores de 5 años;Teusaquillo;Subsidiado ;0;0;2;9;2019
Prevalencia de sibilancia en niños menores de 5 años;Teusaquillo;No asegurado ;0;0;0;0;2019
Prevalencia de sibilancia en niños menores de 5 años;Teusaquillo;Especial;0;0;2;0;2019
Prevalencia de sibilancia en niños menores de 5 años;Los Mártires;Contributivo;2;4;19;27;2019
Prevalencia de sibilancia en niños menores de 5 años;Los Mártires;Subsidiado ;0;1;20;17;2019
Prevalencia de sibilancia en niños menores de 5 años;Los Mártires;No asegurado ;1;1;3;10;2019
Prevalencia de sibilancia en niños menores de 5 años;Los Mártires;Especial;0;0;3;1;2019
Prevalencia de sibilancia en niños menores de 5 años;Antonio Nariño;Contributivo;2;7;28;38;2019
Prevalencia de sibilancia en niños menores de 5 años;Antonio Nariño;Subsidiado ;0;2;12;14;2019
Prevalencia de sibilancia en niños menores de 5 años;Antonio Nariño;No asegurado ;0;0;2;3;2019
Prevalencia de sibilancia en niños menores de 5 años;Antonio Nariño;Especial;0;0;1;2;2019
Prevalencia de sibilancia en niños menores de 5 años;Puente Aranda;Contributivo;3;2;43;38;2019
Prevalencia de sibilancia en niños menores de 5 años;Puente Aranda;Subsidiado ;1;0;7;3;2019
Prevalencia de sibilancia en niños menores de 5 años;Puente Aranda;No asegurado ;0;0;3;4;2019
Prevalencia de sibilancia en niños menores de 5 años;Puente Aranda;Especial;1;0;3;3;2019
Prevalencia de sibilancia en niños menores de 5 años;La Candelaria;Contributivo;3;2;21;15;2019
Prevalencia de sibilancia en niños menores de 5 años;La Candelaria;Subsidiado ;2;4;10;17;2019
Prevalencia de sibilancia en niños menores de 5 años;La Candelaria;No asegurado ;0;0;1;0;2019
Prevalencia de sibilancia en niños menores de 5 años;La Candelaria;Especial;0;0;0;1;2019
Prevalencia de sibilancia en niños menores de 5 años;Rafael Uribe Uribe;Contributivo;10;3;39;33;2019
Prevalencia de sibilancia en niños menores de 5 años;Rafael Uribe Uribe;Subsidiado ;2;3;23;13;2019
Prevalencia de sibilancia en niños menores de 5 años;Rafael Uribe Uribe;No asegurado ;1;1;3;4;2019
Prevalencia de sibilancia en niños menores de 5 años;Rafael Uribe Uribe;Especial;1;0;5;1;2019
Prevalencia de sibilancia en niños menores de 5 años;Ciudad Bolívar;Contributivo;16;11;111;84;2019
Prevalencia de sibilancia en niños menores de 5 años;Ciudad Bolívar;Subsidiado ;13;6;65;55;2019
Prevalencia de sibilancia en niños menores de 5 años;Ciudad Bolívar;No asegurado ;1;4;9;11;2019
Prevalencia de sibilancia en niños menores de 5 años;Ciudad Bolívar;Especial;0;0;5;4;2019
Prevalencia de sibilancia en niños menores de 5 años;Distrito;Contributivo;140;101;1.094;1.020;2019
Prevalencia de sibilancia en niños menores de 5 años;Distrito;Subsidiado ;57;47;426;368;2019
Prevalencia de sibilancia en niños menores de 5 años;Distrito;No asegurado ;10;13;74;87;2019
Prevalencia de sibilancia en niños menores de 5 años;Distrito;Especial;3;3;53;38;2019
Prevalencia de sibilancia en niños menores de 5 años;Usaquén;Contributivo;7;1;49;44;2020
Prevalencia de sibilancia en niños menores de 5 años;Usaquén;Subsidiado ;1;0;10;7;2020
Prevalencia de sibilancia en niños menores de 5 años;Usaquén;No asegurado ;0;1;3;2;2020
Prevalencia de sibilancia en niños menores de 5 años;Usaquén;Especial;1;0;2;1;2020
Prevalencia de sibilancia en niños menores de 5 años;Chapinero;Contributivo;0;1;44;34;2020
Prevalencia de sibilancia en niños menores de 5 años;Chapinero;Subsidiado ;0;0;6;2;2020
Prevalencia de sibilancia en niños menores de 5 años;Chapinero;No asegurado ;0;0;0;0;2020
Prevalencia de sibilancia en niños menores de 5 años;Chapinero;Especial;0;0;1;0;2020
Prevalencia de sibilancia en niños menores de 5 años;Santa Fe;Contributivo;1;1;20;20;2020
Prevalencia de sibilancia en niños menores de 5 años;Santa Fe;Subsidiado ;1;0;20;19;2020
Prevalencia de sibilancia en niños menores de 5 años;Santa Fe;No asegurado ;0;0;2;1;2020
Prevalencia de sibilancia en niños menores de 5 años;Santa Fe;Especial;0;0;0;2;2020
Prevalencia de sibilancia en niños menores de 5 años;San Cristóbal;Contributivo;3;3;46;37;2020
Prevalencia de sibilancia en niños menores de 5 años;San Cristóbal;Subsidiado ;1;1;35;40;2020
Prevalencia de sibilancia en niños menores de 5 años;San Cristóbal;No asegurado ;0;0;2;0;2020
Prevalencia de sibilancia en niños menores de 5 años;San Cristóbal;Especial;0;0;3;1;2020
Prevalencia de sibilancia en niños menores de 5 años;Usme;Contributivo;5;4;43;45;2020
Prevalencia de sibilancia en niños menores de 5 años;Usme;Subsidiado ;3;4;28;20;2020
Prevalencia de sibilancia en niños menores de 5 años;Usme;No asegurado ;0;1;0;3;2020
Prevalencia de sibilancia en niños menores de 5 años;Usme;Especial;0;0;1;1;2020
Prevalencia de sibilancia en niños menores de 5 años;Tunjuelito;Contributivo;1;0;33;23;2020
Prevalencia de sibilancia en niños menores de 5 años;Tunjuelito;Subsidiado ;2;0;14;11;2020
Prevalencia de sibilancia en niños menores de 5 años;Tunjuelito;No asegurado ;0;1;0;1;2020
Prevalencia de sibilancia en niños menores de 5 años;Tunjuelito;Especial;0;0;1;1;2020
Prevalencia de sibilancia en niños menores de 5 años;Bosa;Contributivo;2;4;108;114;2020
Prevalencia de sibilancia en niños menores de 5 años;Bosa;Subsidiado ;0;1;30;32;2020
Prevalencia de sibilancia en niños menores de 5 años;Bosa;No asegurado ;0;0;5;8;2020
Prevalencia de sibilancia en niños menores de 5 años;Bosa;Especial;0;0;5;2;2020
Prevalencia de sibilancia en niños menores de 5 años;Kennedy;Contributivo;5;5;181;156;2020
Prevalencia de sibilancia en niños menores de 5 años;Kennedy;Subsidiado ;3;2;58;56;2020
Prevalencia de sibilancia en niños menores de 5 años;Kennedy;No asegurado ;1;0;9;9;2020
Prevalencia de sibilancia en niños menores de 5 años;Kennedy;Especial;0;0;8;5;2020
Prevalencia de sibilancia en niños menores de 5 años;Fontibón;Contributivo;2;5;76;50;2020
Prevalencia de sibilancia en niños menores de 5 años;Fontibón;Subsidiado ;1;0;12;11;2020
Prevalencia de sibilancia en niños menores de 5 años;Fontibón;No asegurado ;1;0;5;2;2020
Prevalencia de sibilancia en niños menores de 5 años;Fontibón;Especial;0;0;5;3;2020
Prevalencia de sibilancia en niños menores de 5 años;Engativá;Contributivo;8;10;164;125;2020
Prevalencia de sibilancia en niños menores de 5 años;Engativá;Subsidiado ;0;1;17;18;2020
Prevalencia de sibilancia en niños menores de 5 años;Engativá;No asegurado ;0;0;3;2;2020
Prevalencia de sibilancia en niños menores de 5 años;Engativá;Especial;0;0;5;6;2020
Prevalencia de sibilancia en niños menores de 5 años;Suba;Contributivo;13;11;177;165;2020
Prevalencia de sibilancia en niños menores de 5 años;Suba;Subsidiado ;3;2;36;36;2020
Prevalencia de sibilancia en niños menores de 5 años;Suba;No asegurado ;0;1;1;2;2020
Prevalencia de sibilancia en niños menores de 5 años;Suba;Especial;0;0;6;8;2020
Prevalencia de sibilancia en niños menores de 5 años;Barrios Unidos;Contributivo;3;4;42;47;2020
Prevalencia de sibilancia en niños menores de 5 años;Barrios Unidos;Subsidiado ;0;0;10;7;2020
Prevalencia de sibilancia en niños menores de 5 años;Barrios Unidos;No asegurado ;0;0;0;2;2020
Prevalencia de sibilancia en niños menores de 5 años;Barrios Unidos;Especial;0;0;0;0;2020
Prevalencia de sibilancia en niños menores de 5 años;Teusaquillo;Contributivo;4;1;44;24;2020
Prevalencia de sibilancia en niños menores de 5 años;Teusaquillo;Subsidiado ;0;0;1;4;2020
Prevalencia de sibilancia en niños menores de 5 años;Teusaquillo;No asegurado ;0;0;0;0;2020
Prevalencia de sibilancia en niños menores de 5 años;Teusaquillo;Especial;0;0;0;2;2020
Prevalencia de sibilancia en niños menores de 5 años;Los Mártires;Contributivo;0;0;18;23;2020
Prevalencia de sibilancia en niños menores de 5 años;Los Mártires;Subsidiado ;0;0;15;14;2020
Prevalencia de sibilancia en niños menores de 5 años;Los Mártires;No asegurado ;0;0;4;2;2020
Prevalencia de sibilancia en niños menores de 5 años;Los Mártires;Especial;0;0;2;0;2020
Prevalencia de sibilancia en niños menores de 5 años;Antonio Nariño;Contributivo;2;0;33;34;2020
Prevalencia de sibilancia en niños menores de 5 años;Antonio Nariño;Subsidiado ;0;0;1;7;2020
Prevalencia de sibilancia en niños menores de 5 años;Antonio Nariño;No asegurado ;0;0;2;1;2020
Prevalencia de sibilancia en niños menores de 5 años;Antonio Nariño;Especial;0;0;2;3;2020
Prevalencia de sibilancia en niños menores de 5 años;Puente Aranda;Contributivo;2;1;31;34;2020
Prevalencia de sibilancia en niños menores de 5 años;Puente Aranda;Subsidiado ;0;0;2;4;2020
Prevalencia de sibilancia en niños menores de 5 años;Puente Aranda;No asegurado ;0;0;1;0;2020
Prevalencia de sibilancia en niños menores de 5 años;Puente Aranda;Especial;0;0;2;6;2020
Prevalencia de sibilancia en niños menores de 5 años;La Candelaria;Contributivo;0;1;17;15;2020
Prevalencia de sibilancia en niños menores de 5 años;La Candelaria;Subsidiado ;1;0;7;10;2020
Prevalencia de sibilancia en niños menores de 5 años;La Candelaria;No asegurado ;0;0;1;0;2020
Prevalencia de sibilancia en niños menores de 5 años;La Candelaria;Especial;0;0;0;0;2020
Prevalencia de sibilancia en niños menores de 5 años;Rafael Uribe Uribe;Contributivo;3;4;46;33;2020
Prevalencia de sibilancia en niños menores de 5 años;Rafael Uribe Uribe;Subsidiado ;2;4;19;27;2020
Prevalencia de sibilancia en niños menores de 5 años;Rafael Uribe Uribe;No asegurado ;0;0;1;6;2020
Prevalencia de sibilancia en niños menores de 5 años;Rafael Uribe Uribe;Especial;0;0;0;2;2020
Prevalencia de sibilancia en niños menores de 5 años;Ciudad Bolívar;Contributivo;7;4;103;82;2020
Prevalencia de sibilancia en niños menores de 5 años;Ciudad Bolívar;Subsidiado ;1;3;64;51;2020
Prevalencia de sibilancia en niños menores de 5 años;Ciudad Bolívar;No asegurado ;0;0;8;4;2020
Prevalencia de sibilancia en niños menores de 5 años;Ciudad Bolívar;Especial;0;0;4;4;2020
Prevalencia de sibilancia en niños menores de 5 años;Distrito;Contributivo;68;60;1275;1105;2020
Prevalencia de sibilancia en niños menores de 5 años;Distrito;Subsidiado ;19;18;385;376;2020
Prevalencia de sibilancia en niños menores de 5 años;Distrito;No asegurado ;2;4;47;45;2020
Prevalencia de sibilancia en niños menores de 5 años;Distrito;Especial;1;0;47;47;2020
Prevalencia de sibilancia en niños  de 5 a 14 años;Usaquén;Contributivo;13;15;173;196;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;Usaquén;Subsidiado ;8;4;86;92;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;Usaquén;No asegurado ;4;1;15;11;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;Usaquén;Especial;1;1;10;7;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;Chapinero;Contributivo;2;1;55;70;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;Chapinero;Subsidiado ;1;2;71;76;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;Chapinero;No asegurado ;0;0;1;5;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;Chapinero;Especial;0;0;1;3;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;Santa Fe;Contributivo;0;0;0;0;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;Santa Fe;Subsidiado ;0;0;0;0;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;Santa Fe;No asegurado ;0;0;0;0;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;Santa Fe;Especial;0;0;0;0;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;San Cristóbal;Contributivo;5;2;115;105;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;San Cristóbal;Subsidiado ;2;2;76;84;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;San Cristóbal;No asegurado ;0;0;0;0;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;San Cristóbal;Especial;0;0;6;3;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;Usme;Contributivo;1;3;87;120;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;Usme;Subsidiado ;2;0;75;84;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;Usme;No asegurado ;0;0;11;11;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;Usme;Especial;0;0;5;8;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;Tunjuelito;Contributivo;4;3;112;71;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;Tunjuelito;Subsidiado ;4;4;62;63;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;Tunjuelito;No asegurado ;0;0;2;1;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;Tunjuelito;Especial;0;0;2;5;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;Bosa;Contributivo;4;3;149;191;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;Bosa;Subsidiado ;3;1;92;85;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;Bosa;No asegurado ;0;0;6;4;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;Bosa;Especial;0;0;2;5;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;Kennedy;Contributivo;0;0;0;0;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;Kennedy;Subsidiado ;0;0;0;0;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;Kennedy;No asegurado ;0;0;0;0;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;Kennedy;Especial;0;0;0;0;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;Fontibón;Contributivo;8;6;175;158;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;Fontibón;Subsidiado ;5;2;52;74;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;Fontibón;No asegurado ;0;0;2;3;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;Fontibón;Especial;0;0;8;4;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;Engativá;Contributivo;5;5;63;64;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;Engativá;Subsidiado ;3;0;24;21;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;Engativá;No asegurado ;0;0;0;0;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;Engativá;Especial;0;2;11;7;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;Suba;Contributivo;5;5;136;106;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;Suba;Subsidiado ;2;2;36;43;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;Suba;No asegurado ;0;1;0;4;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;Suba;Especial;0;0;2;3;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;Barrios Unidos;Contributivo;1;1;14;11;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;Barrios Unidos;Subsidiado ;0;0;4;10;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;Barrios Unidos;No asegurado ;0;0;0;0;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;Barrios Unidos;Especial;0;0;1;0;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;Teusaquillo;Contributivo;1;2;36;48;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;Teusaquillo;Subsidiado ;0;0;10;16;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;Teusaquillo;No asegurado ;0;0;0;0;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;Teusaquillo;Especial;0;0;0;0;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;Los Mártires;Contributivo;2;0;2;2;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;Los Mártires;Subsidiado ;2;0;29;32;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;Los Mártires;No asegurado ;0;0;0;1;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;Los Mártires;Especial;0;0;0;0;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;Antonio Nariño;Contributivo;1;0;20;9;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;Antonio Nariño;Subsidiado ;0;0;0;0;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;Antonio Nariño;No asegurado ;0;0;1;2;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;Antonio Nariño;Especial;0;0;3;1;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;Puente Aranda;Contributivo;4;0;29;19;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;Puente Aranda;Subsidiado ;2;0;20;12;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;Puente Aranda;No asegurado ;0;0;1;0;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;Puente Aranda;Especial;0;0;9;9;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;La Candelaria;Contributivo;0;0;22;16;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;La Candelaria;Subsidiado ;0;0;15;8;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;La Candelaria;No asegurado ;0;0;1;0;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;La Candelaria;Especial;0;0;0;0;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;Rafael Uribe Uribe;Contributivo;0;2;10;68;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;Rafael Uribe Uribe;Subsidiado ;1;2;5;38;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;Rafael Uribe Uribe;No asegurado ;0;0;0;4;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;Rafael Uribe Uribe;Especial;0;0;1;1;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;Ciudad Bolívar;Contributivo;3;4;49;49;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;Ciudad Bolívar;Subsidiado ;0;1;46;54;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;Ciudad Bolívar;No asegurado ;0;0;0;0;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;Ciudad Bolívar;Especial;0;0;2;0;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;Distrito;Contributivo;59;52;1.247;1.303;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;Distrito;Subsidiado ;35;20;703;792;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;Distrito;No asegurado ;4;2;40;46;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;Distrito;Especial;1;3;63;56;2013
Prevalencia de sibilancia en niños  de 5 a 14 años;Usaquén;Contributivo;11;8;158;148;2014
Prevalencia de sibilancia en niños  de 5 a 14 años;Usaquén;Subsidiado ;2;2;50;52;2014
Prevalencia de sibilancia en niños  de 5 a 14 años;Usaquén;No asegurado ;1;0;4;0;2014
Prevalencia de sibilancia en niños  de 5 a 14 años;Usaquén;Especial;2;0;12;7;2014
Prevalencia de sibilancia en niños  de 5 a 14 años;Chapinero;Contributivo;1;1;65;62;2014
Prevalencia de sibilancia en niños  de 5 a 14 años;Chapinero;Subsidiado ;4;1;88;87;2014
Prevalencia de sibilancia en niños  de 5 a 14 años;Chapinero;No asegurado ;0;0;0;0;2014
Prevalencia de sibilancia en niños  de 5 a 14 años;Chapinero;Especial;0;0;0;1;2014
Prevalencia de sibilancia en niños  de 5 a 14 años;Santa Fe;Contributivo;0;0;87;78;2014
Prevalencia de sibilancia en niños  de 5 a 14 años;Santa Fe;Subsidiado ;1;0;67;48;2014
Prevalencia de sibilancia en niños  de 5 a 14 años;Santa Fe;No asegurado ;0;0;2;4;2014
Prevalencia de sibilancia en niños  de 5 a 14 años;Santa Fe;Especial;0;0;0;6;2014
Prevalencia de sibilancia en niños  de 5 a 14 años;San Cristóbal;Contributivo;6;4;136;136;2014
Prevalencia de sibilancia en niños  de 5 a 14 años;San Cristóbal;Subsidiado ;4;4;107;76;2014
Prevalencia de sibilancia en niños  de 5 a 14 años;San Cristóbal;No asegurado ;0;0;2;2;2014
Prevalencia de sibilancia en niños  de 5 a 14 años;San Cristóbal;Especial;0;0;4;4;2014
Prevalencia de sibilancia en niños  de 5 a 14 años;Usme;Contributivo;13;3;251;183;2014
Prevalencia de sibilancia en niños  de 5 a 14 años;Usme;Subsidiado ;5;1;94;102;2014
Prevalencia de sibilancia en niños  de 5 a 14 años;Usme;No asegurado ;0;0;9;12;2014
Prevalencia de sibilancia en niños  de 5 a 14 años;Usme;Especial;0;1;10;10;2014
Prevalencia de sibilancia en niños  de 5 a 14 años;Tunjuelito;Contributivo;12;10;139;152;2014
Prevalencia de sibilancia en niños  de 5 a 14 años;Tunjuelito;Subsidiado ;4;9;107;116;2014
Prevalencia de sibilancia en niños  de 5 a 14 años;Tunjuelito;No asegurado ;0;0;9;7;2014
Prevalencia de sibilancia en niños  de 5 a 14 años;Tunjuelito;Especial;2;1;6;2;2014
Prevalencia de sibilancia en niños  de 5 a 14 años;Bosa;Contributivo;0;1;117;129;2014
Prevalencia de sibilancia en niños  de 5 a 14 años;Bosa;Subsidiado ;0;1;38;66;2014
Prevalencia de sibilancia en niños  de 5 a 14 años;Bosa;No asegurado ;0;0;5;2;2014
Prevalencia de sibilancia en niños  de 5 a 14 años;Bosa;Especial;0;0;4;4;2014
Prevalencia de sibilancia en niños  de 5 a 14 años;Kennedy;Contributivo;4;6;128;122;2014
Prevalencia de sibilancia en niños  de 5 a 14 años;Kennedy;Subsidiado ;2;1;57;45;2014
Prevalencia de sibilancia en niños  de 5 a 14 años;Kennedy;No asegurado ;0;0;5;3;2014
Prevalencia de sibilancia en niños  de 5 a 14 años;Kennedy;Especial;2;0;13;2;2014
Prevalencia de sibilancia en niños  de 5 a 14 años;Fontibón;Contributivo;5;3;59;41;2014
Prevalencia de sibilancia en niños  de 5 a 14 años;Fontibón;Subsidiado ;3;0;23;22;2014
Prevalencia de sibilancia en niños  de 5 a 14 años;Fontibón;No asegurado ;0;0;0;0;2014
Prevalencia de sibilancia en niños  de 5 a 14 años;Fontibón;Especial;0;0;3;3;2014
Prevalencia de sibilancia en niños  de 5 a 14 años;Engativá;Contributivo;2;6;89;162;2014
Prevalencia de sibilancia en niños  de 5 a 14 años;Engativá;Subsidiado ;0;0;11;5;2014
Prevalencia de sibilancia en niños  de 5 a 14 años;Engativá;No asegurado ;0;0;3;2;2014
Prevalencia de sibilancia en niños  de 5 a 14 años;Engativá;Especial;2;0;19;9;2014
Prevalencia de sibilancia en niños  de 5 a 14 años;Suba;Contributivo;4;5;136;137;2014
Prevalencia de sibilancia en niños  de 5 a 14 años;Suba;Subsidiado ;3;1;75;52;2014
Prevalencia de sibilancia en niños  de 5 a 14 años;Suba;No asegurado ;0;0;3;1;2014
Prevalencia de sibilancia en niños  de 5 a 14 años;Suba;Especial;1;0;5;9;2014
Prevalencia de sibilancia en niños  de 5 a 14 años;Barrios Unidos;Contributivo;2;3;53;103;2014
Prevalencia de sibilancia en niños  de 5 a 14 años;Barrios Unidos;Subsidiado ;0;0;35;55;2014
Prevalencia de sibilancia en niños  de 5 a 14 años;Barrios Unidos;No asegurado ;0;0;1;1;2014
Prevalencia de sibilancia en niños  de 5 a 14 años;Barrios Unidos;Especial;1;0;1;1;2014
Prevalencia de sibilancia en niños  de 5 a 14 años;Teusaquillo;Contributivo;6;6;121;125;2014
Prevalencia de sibilancia en niños  de 5 a 14 años;Teusaquillo;Subsidiado ;1;2;30;29;2014
Prevalencia de sibilancia en niños  de 5 a 14 años;Teusaquillo;No asegurado ;0;0;1;0;2014
Prevalencia de sibilancia en niños  de 5 a 14 años;Teusaquillo;Especial;0;1;2;3;2014
Prevalencia de sibilancia en niños  de 5 a 14 años;Los Mártires;Contributivo;0;2;39;26;2014
Prevalencia de sibilancia en niños  de 5 a 14 años;Los Mártires;Subsidiado ;3;0;68;52;2014
Prevalencia de sibilancia en niños  de 5 a 14 años;Los Mártires;No asegurado ;0;0;3;6;2014
Prevalencia de sibilancia en niños  de 5 a 14 años;Los Mártires;Especial;0;0;1;2;2014
